order_id,order_date,customer_name,ciudad_cliente,product_name,category,manufacturer,quantity,unit_price_cop,ingreso_neto_item
1,2023-05-10,Sofía Rodríguez,Cali,AlphaMobile Go 3,Wearables,AlphaMobile,1,,
1,2023-05-10,Sofía Rodríguez,Cali,AlphaMobile Pro 4S,Audio,AlphaMobile,2,,
2,, Paula Castro ,Ibagué,ElectroNova Max 9S,Wearables,ElectroNova,3,394.512,1065.1824000000001
3,,Carlos Pérez,Ibagué,NeoGadgets Lite 8,Telefonos,NeoGadgets,2,4879240.0,9758480.0
4,,Lucía Hernández,Ibagué,SunDigital Max 3+,Audio,SunDigital,1,,
4,,Lucía Hernández,Ibagué,SunDigital Air 8S,Tablets,SunDigital,3,2264457.0,6793371.0
5,2024-05-23,Juan Díaz,Pereira,SmartGear Max 7+,Wearables,Smart Gear,3,4824000.0,13024800.0
5,2024-05-23,Juan Díaz,Pereira,ElectroNova Pro 6,Tablets,ElectroNova,1,,
5,2024-05-23,Juan Díaz,Pereira,SunDigital Pro 8,Accesorios,SunDigital,3,3189864.26,9569592.78
5,2024-05-23,Juan Díaz,Pereira,SunDigital Pro 9S,Audio,SunDigital,2,,
6,,Sofía Flores,Ibagué,ElectroNova Air 7+,Tablets,ElectroNova,2,,
7,2023-01-19,María Flores,Bucaramanga,SunDigital Air 1+,Telefonos,SunDigital,3,,
7,2023-01-19,María Flores,Bucaramanga,UrbanTech Lite 5,Audio,UrbanTech,2,3758135.1,7516270.2
8,,María Rodríguez,Barranquila,AlphaMobile X 6+,Accesorios,Alpha Mobile,2,3667984.0,7335968.0
8,,María Rodríguez,Barranquila,UrbanTech Go 1S,Accesorios,UrbanTech,3,3597851.0,9174520.049999999
8,,María Rodríguez,Barranquila,AlphaMobile Air 7+,Telefonos,AlphaMobile,2,3016871.14,5732055.166
9,,María Ramírez,Bucaramanga,SunDigital Go 6,Tablets,SunDigital,3,3909572.69,10555846.263
9,,María Ramírez,Bucaramanga,MegaDevices Pro 9+,Tablets,MegaDevices,1,,
10,,Carlos Torres,Barranquila,UrbanTech X 2+,Wearables,UrbanTech,1,131.115,118.00350000000002
11,,Sofía Castro,Bogota,SunDigital X 7+,Audio,SunDigital,3,,
11,,Sofía Castro,Bogota,NeoGadgets Lite 7+,Wearables,NeoGadgets,2,,
11,,Sofía Castro,Bogota,QuantumX X 4S,Audio,QuantumX,1,3537767.0,3537767.0
12,,Sara López,Cali,BlueWave X 4S,Tablets,BlueWave,2,,
12,,Sara López,Cali,ElectroNova Max 7S,Accesorios,Electro Nova,1,,
12,,Sara López,Cali,AlphaMobile Go 9+,Accesorios,AlphaMobile,1,1052897.0,947607.3
12,,Sara López,Cali,ElectroNova Go 4+,Audio,ElectroNova,3,819012.0,2457036.0
13,,Diana López,Cali,AlphaMobile Go 8,Accesorios,AlphaMobile,2,2421613.0,4843226.0
13,,Diana López,Cali,AlphaMobile X 5,Accesorios,AlphaMobile,1,3739918.0,3552922.0999999996
13,,Diana López,Cali,NeoGadgets Air 4+,Telefonos,NeoGadgets,1,664555.0,664555.0
13,,Diana López,Cali,AlphaMobile Lite 4,Audio,AlphaMobile,2,,
14,,Felipe Castro,Manizales,BlueWave Air 9,Accesorios,BlueWave,2,919.064,1838.128
14,,Felipe Castro,Manizales,MegaDevices Lite 6+,Telefonos,MegaDevices,1,2039825.64,1733851.7939999998
14,,Felipe Castro,Manizales,SunDigital Pro 8,Accesorios,SunDigital,2,,
14,,Felipe Castro,Manizales,AlphaMobile Go 3,Wearables,AlphaMobile,3,,
15,,Luis Ramírez,Villavicencio,ElectroNova Max 5+,Wearables,ElectroNova,2,,
15,,Luis Ramírez,Villavicencio,MegaDevices Lite 9,Audio,MegaDevices,3,2094563.77,6283691.3100000005
15,,Luis Ramírez,Villavicencio,TecnoPlus Max 4+,Tablets,Tecno+,3,174.657,523.971
15,,Luis Ramírez,Villavicencio,BlueWave Max 9,Wearables,BlueWave,2,521205.0,1042410.0
